\Downarrow	⇓	m
\Im	ℑ	m
\Leftarrow	⇐͏	m
\Leftrightarrow	⇔͏	m
\P	¶	m
\Re	ℜ	m
\Rightarrow	⇒͏	m
\S	§	m
\Uparrow	⇑	m
\Updownarrow	⇕	m
\aleph	ℵ	m
\coprod	∐͏	m
\amalg	∐	m
\angle	∠	m
\approx	≈	m
\ast	∗	m
\asymp	≍	m
\bigcirc	○͏	m
\bigcap	⋂	m
\bigcup	⋃	m
\perp	⊥͏	m
\bot	⊥	m
\bowtie	⋈	m
\bullet	•	m
\cap	∩	m
\cdot	·	m
\cdots	⋯	m
\circ	∘	m
\clubsuit	♣	m
\cong	≅	m
\copyright	©	m
\cup	∪	m
\dagger	†	m
\dashv	⊣	m
\ddagger	‡	m
\ddots	⋱	m
\diamond	⋄	m
\diamondsuit	♢	m
\div	÷	m
\doteq	≐	m
\dots	…	m
\bar{A}	A̅	m
\bar{B}	B̅	m
\bar{C}	C̅	m
\bar{D}	D̅	m
\bar{E}	E̅	m
\bar{F}	F̅	m
\bar{G}	G̅	m
\bar{H}	H̅	m
\bar{I}	I̅	m
\bar{J}	J̅	m
\bar{K}	K̅	m
\bar{L}	L̅	m
\bar{M}	M̅	m
\bar{N}	N̅	m
\bar{O}	O̅	m
\bar{P}	P̅	m
\bar{Q}	Q̅	m
\bar{R}	R̅	m
\bar{S}	S̅	m
\bar{T}	T̅	m
\bar{U}	U̅	m
\bar{V}	V̅	m
\bar{W}	W̅	m
\bar{X}	X̅	m
\bar{Y}	Y̅	m
\bar{Z}	Z̅	m
\bar{a}	a̅	m
\bar{b}	b̅	m
\bar{c}	c̅	m
\bar{d}	d̅	m
\bar{e}	e̅	m
\bar{f}	f̅	m
\bar{g}	g̅	m
\bar{h}	h̅	m
\bar{i}	i̅	m
\bar{j}	j̅	m
\bar{k}	k̅	m
\bar{l}	l̅	m
\bar{m}	m̅	m
\bar{n}	n̅	m
\bar{o}	o̅	m
\bar{p}	p̅	m
\bar{q}	q̅	m
\bar{r}	r̅	m
\bar{s}	s̅	m
\bar{t}	t̅	m
\bar{u}	u̅	m
\bar{v}	v̅	m
\bar{w}	w̅	m
\bar{x}	x̅	m
\bar{y}	y̅	m
\bar{z}	z̅	m
\dot{A}	Ȧ	m
\dot{B}	Ḃ	m
\dot{C}	Ċ	m
\dot{D}	Ḋ	m
\dot{E}	Ė	m
\dot{F}	Ḟ	m
\dot{G}	Ġ	m
\dot{H}	Ḣ	m
\dot{I}	İ	m
\dot{J}	J̇	m
\dot{K}	K̇	m
\dot{L}	L̇	m
\dot{M}	Ṁ	m
\dot{N}	Ṅ	m
\dot{O}	Ȯ	m
\dot{P}	Ṗ	m
\dot{Q}	Q̇	m
\dot{R}	Ṙ	m
\dot{S}	Ṡ	m
\dot{T}	Ṫ	m
\dot{U}	U̇	m
\dot{V}	V̇	m
\dot{W}	Ẇ	m
\dot{X}	Ẋ	m
\dot{Y}	Ẏ	m
\dot{Z}	Ż	m
\dot{a}	ȧ	m
\dot{b}	ḃ	m
\dot{c}	ċ	m
\dot{d}	ḋ	m
\dot{e}	ė	m
\dot{f}	ḟ	m
\dot{g}	ġ	m
\dot{h}	ḣ	m
\dot{i}	i̇	m
\dot{j}	j̇	m
\dot{k}	k̇	m
\dot{l}	l̇	m
\dot{m}	ṁ	m
\dot{n}	ṅ	m
\dot{o}	ȯ	m
\dot{p}	ṗ	m
\dot{q}	q̇	m
\dot{r}	ṙ	m
\dot{s}	ṡ	m
\dot{t}	ṫ	m
\dot{u}	u̇	m
\dot{v}	v̇	m
\dot{w}	ẇ	m
\dot{x}	ẋ	m
\dot{y}	ẏ	m
\dot{z}	ż	m
\hat{A}	Â	m
\hat{B}	B̂	m
\hat{C}	Ĉ	m
\hat{D}	D̂	m
\hat{E}	Ê	m
\hat{F}	F̂	m
\hat{G}	Ĝ	m
\hat{H}	Ĥ	m
\hat{I}	Î	m
\hat{J}	Ĵ	m
\hat{K}	K̂	m
\hat{L}	L̂	m
\hat{M}	M̂	m
\hat{N}	N̂	m
\hat{O}	Ô	m
\hat{P}	P̂	m
\hat{Q}	Q̂	m
\hat{R}	R̂	m
\hat{S}	Ŝ	m
\hat{T}	T̂	m
\hat{U}	Û	m
\hat{V}	V̂	m
\hat{W}	Ŵ	m
\hat{X}	X̂	m
\hat{Y}	Ŷ	m
\hat{Z}	Ẑ	m
\hat{a}	â	m
\hat{b}	b̂	m
\hat{c}	ĉ	m
\hat{d}	d̂	m
\hat{e}	ê	m
\hat{f}	f̂	m
\hat{g}	ĝ	m
\hat{h}	ĥ	m
\hat{i}	î	m
\hat{j}	ĵ	m
\hat{k}	k̂	m
\hat{l}	l̂	m
\hat{m}	m̂	m
\hat{n}	n̂	m
\hat{o}	ô	m
\hat{p}	p̂	m
\hat{q}	q̂	m
\hat{r}	r̂	m
\hat{s}	ŝ	m
\hat{t}	t̂	m
\hat{u}	û	m
\hat{v}	v̂	m
\hat{w}	ŵ	m
\hat{x}	x̂	m
\hat{y}	ŷ	m
\hat{z}	ẑ	m
\downarrow	↓	m
\ell	ℓ	m
\emptyset	∅	m
\equiv	≡	m
\exists	∃	m
\flat	♭	m
\forall	∀	m
\frown	⁔	m
\geq	≥	m
\ge	≥	m
\gets	←	m
\gg	≫	m
\hbar	ℏ	m
\heartsuit	♡	m
\hookleftarrow	↩	m
\hookrightarrow	↪	m
\imath	ɩ	m
\iff	⇔	m
\implies	⇒	m
\impliedby	⇐	m
\in	∈	m
\infty	∞	m
\int	∫	m
\iint	∬	m
\iiint	∭	m
\jmath	𝚥	m
\land	∧	m
\langle	⟨	m
\lceil	⌈	m
\ldots	…͏	m
\le	≤	m
\leftarrow	←͏	m
\leftharpoondown	↽	m
\leftharpoonup	↼	m
\leftrightarrow	↔	m
\leq	≤	m
\lfloor	⌊	m
\ll	≪	m
\lmoustache	⎛	m
\lnot	¬͏	m
\lor	∨	m
\mapsto	↦	m
\mid	∣	m
\models	╞	m
\mp	∓	m
\nabla	∇	m
\natural	♮	m
\nearrow	↗	m
\neg	¬	m
\owns	∋	m
\ni	∋	m
\not<	≮	m
\not=	≠	m
\neq	≠	m
\ne	≠	m
\not>	≯	m
\not\approx	≉	m
\not\cong	≇	m
\not\equiv	≢	m
\not\exists	∄	m
\not\geq	≱	m
\not\ge	≱	m
\not\in	∉	m
\notin	∉	m
\not\leq	≰	m
\not\le	≰	m
\not\mid	∤	m
\nmid	∤	m
\not\ni	∌	m
\not\parallel	∦	m
\not\prec	⊀	m
\not\preceq	⋠	m
\not\sim	≁	m
\not\simeq	≄	m
\not\sqsubseteq	⋢	m
\not\sqsupseteq	⋣	m
\not\subset	⊄	m
\not\subseteq	⊈	m
\not\succ	⊁	m
\not\succeq	⋡	m
\not\supset	⊅	m
\not\supseteq	⊉	m
\nwarrow	↖	m
\odot	⊙	m
\oint	∮	m
\oiint	∯	m
\oiiint	∰	m
\ominus	⊖	m
\oplus	⊕	m
\oslash	⊘	m
\otimes	⊗	m
\parallel	║	m
\partial	∂	m
\pm	±	m
\prec	≺	m
\preceq	⪯	m
\prime	′	m
\prod	∏	m
\propto	∝	m
\rangle	⟩	m
\rceil	⌉	m
\rfloor	⌋	m
\rightarrow	→͏	m
\rightleftharpoons	⇌	m
\rmoustache	⎞	m
\searrow	↘	m
\backslash	∖͏	m
\setminus	∖	m
\sharp	♯	m
\sim	∼	m
\simeq	⋍	m
\smile	‿	m
\spadesuit	♠	m
\sqcap	⊓	m
\sqcup	⊔	m
\surd	√͏	m
\sqrt	√	m
\sqrt[3]	∛	m
\sqrt[4]	∜	m
\sqsubset	⊏	m
\sqsubseteq	⊑	m
\sqsupset	⊐	m
\sqsupseteq	⊒	m
\star	✫	m
\subset	⊂	m
\subseteq	⊆	m
\succ	≻	m
\succeq	⪰	m
\sum	∑	m
\supset	⊃	m
\supseteq	⊇	m
\swarrow	↙	m
\times	×	m
\to	→	m
\top	⊤	m
\triangle	∆	m
\triangleleft	⊲	m
\triangleright	⊳	m
\uparrow	↑	m
\updownarrow	↕	m
\vdash	⊢	m
\vdots	⋮	m
\vee	∨͏	m
\wedge	∧͏	m
\wp	℘	m
\wr	≀	m
\{	❴	m
\|	‖	m
\}	❵	m
\frac{1}{2}	½	m
\frac{1}{3}	⅓	m
\frac{2}{3}	⅔	m
\frac{1}{4}	¼	m
\frac{3}{4}	¾	m
\frac{1}{5}	⅕	m
\frac{2}{5}	⅖	m
\frac{3}{5}	⅗	m
\frac{4}{5}	⅘	m
\frac{1}{6}	⅙	m
\frac{5}{6}	⅚	m
\frac{1}{7}	⅐	m
\frac{1}{8}	⅛	m
\frac{3}{8}	⅜	m
\frac{5}{8}	⅝	m
\frac{7}{8}	⅞	m
\frac{1}{9}	⅑	m
\dfrac{1}{2}	½͏	m
\dfrac{1}{3}	⅓͏	m
\dfrac{2}{3}	⅔͏	m
\dfrac{1}{4}	¼͏	m
\dfrac{3}{4}	¾͏	m
\dfrac{1}{5}	⅕͏	m
\dfrac{2}{5}	⅖͏	m
\dfrac{3}{5}	⅗͏	m
\dfrac{4}{5}	⅘͏	m
\dfrac{1}{6}	⅙͏	m
\dfrac{5}{6}	⅚͏	m
\dfrac{1}{7}	⅐͏	m
\dfrac{1}{8}	⅛͏	m
\dfrac{3}{8}	⅜͏	m
\dfrac{5}{8}	⅝͏	m
\dfrac{7}{8}	⅞͏	m
\dfrac{1}{9}	⅑͏	m
\tfrac{1}{2}	½͏͏	m
\tfrac{1}{3}	⅓͏͏	m
\tfrac{2}{3}	⅔͏͏	m
\tfrac{1}{4}	¼͏͏	m
\tfrac{3}{4}	¾͏͏	m
\tfrac{1}{5}	⅕͏͏	m
\tfrac{2}{5}	⅖͏͏	m
\tfrac{3}{5}	⅗͏͏	m
\tfrac{4}{5}	⅘͏͏	m
\tfrac{1}{6}	⅙͏͏	m
\tfrac{5}{6}	⅚͏͏	m
\tfrac{1}{7}	⅐͏͏	m
\tfrac{1}{8}	⅛͏͏	m
\tfrac{3}{8}	⅜͏͏	m
\tfrac{5}{8}	⅝͏͏	m
\tfrac{7}{8}	⅞͏͏	m
